"Display Block below Price","Afișare Bloc sub Preț"
"Create Transational Email Templates to be managed in the Magento admin area","Creare Șabloane E-mail-uri Tranzacționale pentru fi gestionate în zona de administrare Magento"
"Language Package for Email Templates","Pachet Limbă pentru Șabloane E-mail"
"If your desired locale is missing, please check if it installed.","Dacă localizarea dorită lipsește, verificați dacă e instalată."
"If your desired locale is missing, it is not supported yet by MageSetup.","Dacă localizarea dorită lipsește, nu e suportată momentan de către MageSetup."
"Configuration Settings","Setări Configurare"
"CMS Settings","Setări CMS"
"Email Settings","Setări E-mail"
"Tax Settings","Setări Taxe"
"Delivery Time","Timp Livrare"
"Shipping Costs","Costuri Livrare"
"Hide estimated shipping costs in cart","Ascundere costuri estimate livrare din coș"
"Replace with a link to the shipping costs cms page","Înlocuire cu o legătură către pagina cms costuri expediere"
"Here you find information regarding the shipping costs.","Aici găsiți informații cu privire la costurile de expediere."
"Hide box \"Last Ordered Items\"","Ascundere casetă \"Ultimele Produse Comandate\""
"Display on","Afișare pe"
"On checkout (Magento Default)","În finalizare comandă (implicit Magento)"
"On customer registration (or on checkout, if customer not registered before)","În înregistrare client (sau în finalizare comandă, dacă clientul nu s-a înregistrat înainte)"
"On customer registration and on checkout","În înregistrare client și în finalizare comandă"
"Nowhere","Nicăieri"
"Agreements not confirmed.","Acorduri neconfirmate."
"Revocation Product Type (for extra checkout agreements)","Tip Produs Revocare (pentru acorduri finalizare comandă suplimentare)"
"Default Revocation Product Type (for extra checkout agreements)","Tip Produs Revocare Implicit (pentru acorduri finalizare comandă suplimentare)"
"Display extra checkout agreements for Digital Goods and Services","Afișare acorduri finalizare comandă suplimentare pentru Bunuri și Servicii Digitale"
"Default (Configuration)","Implicit (Configurație)"
"Delivery of Goods","Livrarea Bunurilor"
"Digital Content","Conținut Digital"
"Service","Serviciu"
"Display for following Revocation Product Types","Afișare pentru următoarele Tipuri Produs Revocare"
"Will only be displayed if at least one product of the selected type is in cart","Va fi afișat dacă cel puțin un produs din tipul selectat e în coș"
"All","Toate"
"German Language Pack","Pachet Limba Germană"
"Base Price","Preț de Bază"
"Newsletter Unsubscription for Guests, Double Opt In for registered Customers","Dezabonare Buletin pentru Vizitatori, Optare Dublă pentru Clienți înregistrați"
"Debit Payment","Plată Debit"
"Cash on Delivery","Plată Ramburs"
"Bank Payment","Transfer Bancar"
"Invoice Payment","Plată Factură"
"Extension Key","Cheie Extensie"
"MagentoConnect","MagentoConnect"
"Bank Information","Informații Bancă"
"Popular Payment Methods in Germany","Metode de Plată Populare în Germania"
